ERC20,ChainlinkFeed (L1 eth)
BTC/USD,YES
ETH/USD,YES
ETH/BTC,YES
BNB/USD,YES
SOL/USD,YES
LINK/ETH,YES
AVAX/USD,YES
SHIB/ETH,YES
UNI/ETH,YES
UNI/USD,YES
AAVE/ETH,YES
AAVE/USD,YES
FIL/ETH,YES
ARB/USD,YES
LDO/ETH,YES
GRT/USD,YES
MKR/ETH,YES
IMX/USD,YES
ENS/USD,YES
SAND/USD,YES
PAXG/USD,YES
CRV/ETH,YES
CRV/USD,YES
XCN/USD,YES
APE/USD,YES
APE/ETH,YES
COMP/ETH,YES
1INCH/ETH,YES
SNX/ETH,YES
BAT/ETH,YES
ZRX/ETH,YES
CVX/ETH,YES
GHO/ETH,YES
CVX/ETH,YES
YFI/USD,YES
LRC/ETH,YES
SUSHI/ETH,YES
RPL/USD,YES
BAL/ETH,YES
STG/USD,YES
RDNT/USD,YES
EIGEN/USD,YES
